lam_dim,lam_dim_id,rad,rad_id,pressure_dim,pressure_dim_id,simulation_area,patch_area,delta,delta_id,k0,k0_id,indices
0.15,29.0,464.375,37.0,0.0,,24388777.727178633,2709864.1919087367,0.9396551724137931,21.0,320.0,,36801.0
0.1043793103448276,20.0,48.75,2.0,0.0,,268782.8864686917,29864.765163187967,0.4353448275862069,8.0,320.0,,24668.0
0.013137931034482759,2.0,500.0,40.0,0.0,,28274333.882308137,3141592.653589793,0.5905172413793104,12.0,320.0,,3672.0
0.07396551724137931,14.0,488.125,39.0,0.0,,26947251.51435399,2994139.0571504436,1.1336206896551724,26.0,320.0,,18416.0
0.07903448275862067,15.0,357.5,28.0,0.0,,14454546.338982975,1606060.7043314418,0.2025862068965517,2.0,320.0,,19292.0
0.008068965517241379,1.0,381.25,30.0,0.0,,16438874.433760716,1826541.603751191,0.9784482758620692,22.0,320.0,,2152.0
0.08410344827586208,16.0,72.5,4.0,0.0,,594467.8698755286,66051.9855417254,0.5129310344827587,10.0,320.0,,19810.0
0.01820689655172413,3.0,440.625,35.0,0.0,,21957891.87164719,2439765.7635163544,1.1724137931034484,27.0,320.0,,4767.0
0.1297241379310345,25.0,203.125,15.0,0.0,,4666369.55674812,518485.50630534673,0.7456896551724138,16.0,320.0,,31216.0
0.053689655172413794,10.0,250.625,19.0,0.0,,7103970.566576611,789330.0629529569,1.1336206896551724,26.0,320.0,,12896.0
0.12465517241379308,24.0,357.5,28.0,0.0,,14454546.338982975,1606060.7043314418,0.5517241379310345,11.0,320.0,,30371.0
0.06382758620689655,12.0,440.625,35.0,0.0,,21957891.87164719,2439765.7635163544,1.0948275862068966,25.0,320.0,,15835.0
0.14493103448275862,28.0,36.875,1.0,0.0,,153785.8691317416,17087.318792415736,0.9784482758620692,22.0,320.0,,34492.0
0.008068965517241379,1.0,464.375,37.0,0.0,,24388777.727178633,2709864.1919087367,0.2025862068965517,2.0,320.0,,2342.0
0.11958620689655172,23.0,238.75,18.0,0.0,,6446724.83975302,716302.7599725578,0.9396551724137931,21.0,320.0,,28851.0
0.12465517241379308,24.0,203.125,15.0,0.0,,4666369.55674812,518485.50630534673,0.7844827586206897,17.0,320.0,,29987.0
0.043551724137931035,8.0,405.0,32.0,0.0,,18550790.46018237,2061198.9400202632,0.2801724137931034,4.0,320.0,,10804.0
0.0993103448275862,19.0,405.0,32.0,0.0,,18550790.46018237,2061198.9400202632,0.125,0.0,320.0,,24330.0
0.12465517241379308,24.0,84.375,5.0,0.0,,805155.8359454153,89461.75954949061,0.6681034482758621,14.0,320.0,,29684.0
0.018206896551724132,3.0,476.25,38.0,0.0,,25652066.129310824,2850229.569923425,0.3189655172413793,5.0,320.0,,4835.0
0.13986206896551726,27.0,321.875,25.0,0.0,,11717281.568648713,1301920.1742943013,0.6681034482758621,14.0,320.0,,33974.0
0.15,29.0,60.625,3.0,0.0,,415676.88671662076,46186.3207462912,1.1724137931034484,27.0,320.0,,35787.0
0.13479310344827586,26.0,250.625,19.0,0.0,,7103970.566576611,789330.0629529569,0.8232758620689655,18.0,320.0,,32568.0
0.06889655172413793,13.0,155.625,11.0,0.0,,2739120.273495292,304346.69705503236,0.6293103448275862,13.0,320.0,,16333.0
0.11451724137931035,22.0,357.5,28.0,0.0,,14454546.338982975,1606060.7043314418,0.5129310344827587,10.0,320.0,,27910.0
0.053689655172413794,10.0,262.5,20.0,0.0,,7793113.2763111815,865901.4751456869,0.9008620689655172,20.0,320.0,,12920.0
0.12465517241379308,24.0,405.0,32.0,0.0,,18550790.46018237,2061198.9400202632,0.8620689655172414,19.0,320.0,,30499.0
0.13986206896551726,27.0,108.125,7.0,0.0,,1322222.7168181257,146913.63520201395,0.6681034482758621,14.0,320.0,,33434.0
0.1297241379310345,25.0,321.875,25.0,0.0,,11717281.568648713,1301920.1742943013,1.25,29.0,320.0,,31529.0
0.03848275862068967,7.0,405.0,32.0,0.0,,18550790.46018237,2061198.9400202632,1.0560344827586208,24.0,320.0,,9594.0
0.11451724137931035,22.0,440.625,35.0,0.0,,21957891.87164719,2439765.7635163544,1.0172413793103448,23.0,320.0,,28133.0
0.03848275862068967,7.0,96.25,6.0,0.0,,1047740.784926281,116415.64276958678,0.9008620689655172,20.0,320.0,,8810.0
0.13986206896551726,27.0,357.5,28.0,0.0,,14454546.338982975,1606060.7043314418,0.2413793103448276,3.0,320.0,,34053.0
0.10944827586206897,21.0,155.625,11.0,0.0,,2739120.273495292,304346.69705503236,1.1724137931034484,27.0,320.0,,26187.0
0.018206896551724132,3.0,226.875,17.0,0.0,,5821376.095840408,646819.5662044898,0.9396551724137931,21.0,320.0,,4221.0
0.07903448275862067,15.0,60.625,3.0,0.0,,415676.88671662076,46186.3207462912,0.5905172413793104,12.0,320.0,,18552.0
0.12465517241379308,24.0,274.375,21.0,0.0,,8514152.96895673,946016.9965507477,0.9784482758620692,22.0,320.0,,30172.0
0.06382758620689655,12.0,48.75,2.0,0.0,,268782.8864686917,29864.765163187967,1.25,29.0,320.0,,14849.0
0.05875862068965518,11.0,345.625,27.0,0.0,,13510227.765960578,1501136.418440064,0.3189655172413793,5.0,320.0,,14345.0
0.11958620689655172,23.0,452.5,36.0,0.0,,23157386.307957426,2573042.9231063803,0.7068965517241379,15.0,320.0,,29385.0
0.10944827586206897,21.0,108.125,7.0,0.0,,1322222.7168181257,146913.63520201395,0.5517241379310345,11.0,320.0,,26051.0
0.14493103448275862,28.0,333.75,26.0,0.0,,12597806.175849155,1399756.2417610174,0.5905172413793104,12.0,320.0,,35232.0
0.09424137931034482,18.0,215.0,16.0,0.0,,5227924.334838775,580880.4816487527,0.16379310344827586,1.0,320.0,,22621.0
0.003,0.0,120.0,8.0,0.0,,1628601.6316209487,180955.73684677208,0.2413793103448276,3.0,320.0,,243.0
0.15,29.0,345.625,27.0,0.0,,13510227.765960578,1501136.418440064,1.0172413793103448,23.0,320.0,,36503.0
0.09424137931034482,18.0,500.0,40.0,0.0,,28274333.882308137,3141592.653589793,0.7456896551724138,16.0,320.0,,23356.0
0.008068965517241379,1.0,393.125,31.0,0.0,,17478883.95551605,1942098.2172795616,0.2413793103448276,3.0,320.0,,2163.0
0.0993103448275862,19.0,120.0,8.0,0.0,,1628601.6316209487,180955.73684677208,1.2112068965517242,28.0,320.0,,23638.0
0.06382758620689655,12.0,25.0,0.0,0.0,,70685.83470577035,7853.981633974482,0.6293103448275862,13.0,320.0,,14773.0
0.12465517241379308,24.0,274.375,21.0,0.0,,8514152.96895673,946016.9965507477,0.3577586206896552,6.0,320.0,,30156.0
0.15,29.0,274.375,21.0,0.0,,8514152.96895673,946016.9965507477,1.0948275862068966,25.0,320.0,,36325.0
