lam_dim,lam_dim_id,rad,rad_id,pressure_dim,pressure_dim_id,simulation_area,patch_area,delta,delta_id,k0,k0_id,indices
0.033413793103448275,6.0,440.625,35.0,0.00028965517241379314,28.0,21957891.87164719,2439765.7635163544,1.0,,320.0,,8458.0
0.11451724137931035,22.0,167.5,12.0,0.000196551724137931,19.0,3173087.119942032,352565.2355491145,1.0,,320.0,,27439.0
0.07396551724137931,14.0,143.75,10.0,0.0002482758620689655,24.0,2337050.409959532,259672.2677732813,1.0,,320.0,,17544.0
0.05875862068965518,11.0,143.75,10.0,0.00012413793103448274,12.0,2337050.409959532,259672.2677732813,1.0,,320.0,,13842.0
0.013137931034482759,2.0,238.75,18.0,1.0344827586206897e-05,1.0,6446724.83975302,716302.7599725578,1.0,,320.0,,3001.0
0.13479310344827586,26.0,72.5,4.0,5.172413793103448e-05,5.0,594467.8698755286,66051.9855417254,1.0,,320.0,,32105.0
0.01820689655172413,3.0,274.375,21.0,0.00027931034482758614,27.0,8514152.96895673,946016.9965507477,1.0,,320.0,,4347.0
0.05875862068965518,11.0,120.0,8.0,0.00028965517241379314,28.0,1628601.6316209487,180955.73684677208,1.0,,320.0,,13798.0
0.06889655172413793,13.0,60.625,3.0,0.0002586206896551724,25.0,415676.88671662076,46186.3207462912,1.0,,320.0,,16105.0
0.033413793103448275,6.0,179.375,13.0,0.0002172413793103448,21.0,3638950.9492997485,404327.8832555276,1.0,,320.0,,7791.0
0.08410344827586208,16.0,120.0,8.0,0.000196551724137931,19.0,1628601.6316209487,180955.73684677208,1.0,,320.0,,19939.0
0.1297241379310345,25.0,203.125,15.0,0.0,0.0,4666369.55674812,518485.50630534673,1.0,,320.0,,31200.0
0.13986206896551726,27.0,416.875,33.0,3.1034482758620685e-05,3.0,19654593.947759666,2183843.771973296,1.0,,320.0,,34203.0
0.13986206896551726,27.0,393.125,31.0,6.206896551724137e-05,6.0,17478883.95551605,1942098.2172795616,1.0,,320.0,,34146.0
0.003,0.0,120.0,8.0,4.137931034482758e-05,4.0,1628601.6316209487,180955.73684677208,1.0,,320.0,,244.0
0.033413793103448275,6.0,440.625,35.0,0.0002689655172413793,26.0,21957891.87164719,2439765.7635163544,1.0,,320.0,,8456.0
0.018206896551724132,3.0,381.25,30.0,9.310344827586203e-05,9.0,16438874.433760716,1826541.603751191,1.0,,320.0,,4599.0
0.04862068965517241,9.0,369.375,29.0,0.0003,29.0,15430761.894916356,1714529.0994351509,1.0,,320.0,,11969.0
0.11451724137931035,22.0,381.25,30.0,0.00027931034482758614,27.0,16438874.433760716,1826541.603751191,1.0,,320.0,,27987.0
0.06382758620689655,12.0,381.25,30.0,0.0001862068965517241,18.0,16438874.433760716,1826541.603751191,1.0,,320.0,,15678.0
0.003,0.0,72.5,4.0,0.00028965517241379314,28.0,594467.8698755286,66051.9855417254,1.0,,320.0,,148.0
0.003,0.0,120.0,8.0,6.206896551724137e-05,6.0,1628601.6316209487,180955.73684677208,1.0,,320.0,,246.0
0.018206896551724132,3.0,333.75,26.0,5.172413793103448e-05,5.0,12597806.175849155,1399756.2417610174,1.0,,320.0,,4475.0
0.15,29.0,108.125,7.0,0.00016551724137931032,16.0,1322222.7168181257,146913.63520201395,1.0,,320.0,,35896.0
0.023275862068965515,4.0,262.5,20.0,0.00012413793103448274,12.0,7793113.2763111815,865901.4751456869,1.0,,320.0,,5532.0
0.06889655172413793,13.0,416.875,33.0,0.00012413793103448274,12.0,19654593.947759666,2183843.771973296,1.0,,320.0,,16992.0
0.003,0.0,405.0,32.0,0.00014482758620689654,14.0,18550790.46018237,2061198.9400202632,1.0,,320.0,,974.0
0.08410344827586208,16.0,203.125,15.0,0.0002586206896551724,25.0,4666369.55674812,518485.50630534673,1.0,,320.0,,20155.0
0.11958620689655172,23.0,25.0,0.0,6.206896551724137e-05,6.0,70685.83470577035,7853.981633974482,1.0,,320.0,,28296.0
0.07903448275862067,15.0,155.625,11.0,6.206896551724137e-05,6.0,2739120.273495292,304346.69705503236,1.0,,320.0,,18786.0
0.003,0.0,286.25,22.0,0.0002379310344827586,23.0,9267089.644513257,1029676.6271681396,1.0,,320.0,,683.0
0.09424137931034482,18.0,500.0,40.0,0.00011379310344827582,11.0,28274333.882308137,3141592.653589793,1.0,,320.0,,23351.0
0.0993103448275862,19.0,381.25,30.0,7.241379310344827e-05,7.0,16438874.433760716,1826541.603751191,1.0,,320.0,,24277.0
0.13986206896551726,27.0,203.125,15.0,2.068965517241379e-05,2.0,4666369.55674812,518485.50630534673,1.0,,320.0,,33662.0
0.053689655172413794,10.0,25.0,0.0,0.00012413793103448274,12.0,70685.83470577035,7853.981633974482,1.0,,320.0,,12312.0
0.06382758620689655,12.0,215.0,16.0,0.00014482758620689654,14.0,5227924.334838775,580880.4816487527,1.0,,320.0,,15254.0
0.1043793103448276,20.0,321.875,25.0,0.0002689655172413793,26.0,11717281.568648713,1301920.1742943013,1.0,,320.0,,25376.0
0.043551724137931035,8.0,393.125,31.0,3.1034482758620685e-05,3.0,17478883.95551605,1942098.2172795616,1.0,,320.0,,10773.0
